base,dataset,reranker,seed,metric,value
als,ml-1m,dpp_alpha=2.0,0,Diversity,0.845259428024292
als,ml-1m,dpp_alpha=2.0,0,Coverage,0.1998301726577979
als,ml-1m,dpp_alpha=2.0,0,AvgPop,889.4237038264039
als,ml-1m,dpp_alpha=4.0,0,NDCG@10,0.09307423233985901
als,ml-1m,dpp_alpha=4.0,0,Recall@10,0.06358863413333893
als,ml-1m,dpp_alpha=4.0,0,HR@10,0.5004141330718994
als,ml-1m,dpp_alpha=4.0,0,Diversity,0.8151781558990479
als,ml-1m,dpp_alpha=4.0,0,Coverage,0.19756580809510332
als,ml-1m,dpp_alpha=4.0,0,AvgPop,901.4382806029485
als,ml-1m,none,1,NDCG@10,0.0996834933757782
als,ml-1m,none,1,Recall@10,0.07422686368227005
als,ml-1m,none,1,HR@10,0.5085307359695435
als,ml-1m,none,1,Diversity,0.6484728455543518
als,ml-1m,none,1,Coverage,0.20435890178318708
als,ml-1m,none,1,AvgPop,885.0375186350836
als,ml-1m,mmr_lam=1.0,1,NDCG@10,0.0996834933757782
als,ml-1m,mmr_lam=1.0,1,Recall@10,0.07422686368227005
als,ml-1m,mmr_lam=1.0,1,HR@10,0.5085307359695435
als,ml-1m,mmr_lam=1.0,1,Diversity,0.6484728455543518
als,ml-1m,mmr_lam=1.0,1,Coverage,0.20435890178318708
als,ml-1m,mmr_lam=1.0,1,AvgPop,885.0375186350836
als,ml-1m,mmr_lam=0.8,1,NDCG@10,0.09922861307859421
als,ml-1m,mmr_lam=0.8,1,Recall@10,0.07346751540899277
als,ml-1m,mmr_lam=0.8,1,HR@10,0.5103528499603271
als,ml-1m,mmr_lam=0.8,1,Diversity,0.7019079923629761
als,ml-1m,mmr_lam=0.8,1,Coverage,0.1986979903764506
als,ml-1m,mmr_lam=0.8,1,AvgPop,900.1649329136989
als,ml-1m,mmr_lam=0.6,1,NDCG@10,0.0953948050737381
als,ml-1m,mmr_lam=0.6,1,Recall@10,0.06860131770372391
als,ml-1m,mmr_lam=0.6,1,HR@10,0.500745415687561
